match found;ian_malcolm;suspect;2020-02-20 23:45:55
match found;alan_grant;suspect;2020-02-20 23:45:55
match found;ian_malcolm;suspect;2020-02-20 23:49:18
match found;ian_malcolm;suspect;2020-02-20 23:50:18
match found;ian_malcolm;suspect;2020-02-20 23:50:18
match found;ian_malcolm;suspect;2020-02-20 23:54:04
match found;alan_grant;suspect;2020-02-20 23:54:04
match found;ian_malcolm;suspect;2020-02-20 23:55:34
match found;ian_malcolm;suspect;2020-02-20 23:55:34
match found;ian_malcolm;suspect;2020-02-20 23:56:10
match found;ian_malcolm;suspect;2020-02-20 23:56:10
match found;ian_malcolm;suspect;2020-02-21 00:00:50
match found;alan_grant;suspect;2020-02-21 00:00:50
match found;ian_malcolm;suspect;2020-02-21 00:24:46
match found;alan_grant;suspect;2020-02-21 00:24:46
match found;ian_malcolm;suspect;2020-02-21 00:31:14;matched 40 of 42 Images
match found;alan_grant;suspect;2020-02-21 00:31:14;matched 5 of 22 Images
match found;nimrod_mutandwa;suspect;2022-06-20 21:38:37;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-20 21:40:22;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-20 22:03:26;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:39:14;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:44:59;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:46:10;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:47:15;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:48:09;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:48:20;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:50:30;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:52:01;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:53:22;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:53:47;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:54:03;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:54:31;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:54:48;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:55:16;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:56:40;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:56:42;matched 1 of 1 Images
match found;nimrod_mutandwa;suspect;2022-06-22 19:57:10;matched 1 of 1 Images
match found;alan_grant;suspect;2022-06-22 20:47:15;matched 8 of 22 Images
match found;alan_grant;suspect;2022-06-22 21:31:23;matched 8 of 22 Images
